Year,ISLAND,LIBRARY,INVENTORY DESCRIPTOR,ITEMS,SUM PRICE
2005,Hawaii,Bond Memorial,Library Materials Books,15485,$238457.06
2005,Hawaii,Bond Memorial,Library Materials Compact Disc,302,$6041.87
2005,Hawaii,Bond Memorial,Library Materials DVD,411,$10058.39
2005,Hawaii,Bond Memorial,Library Materials Phonotape,196,$4173.71
2005,Hawaii,Bond Memorial,Library Materials Videotape,521,$10028.23
2005,Hawaii,Hilo,Library Materials Books,206026,$3313672.62
2005,Hawaii,Hilo,Library Materials Compact Disc,2149,$39455.60
2005,Hawaii,Hilo,Library Materials CD-ROM,4,$159.80
2005,Hawaii,Hilo,Library Materials DVD,814,$19438.26
2005,Hawaii,Hilo,Library Materials Microform,1,$42.50
2005,Hawaii,Hilo,Library Materials Phonodisc,386,$4210.85
2005,Hawaii,Hilo,Library Materials Phonotape,2121,$30777.32
2005,Hawaii,Hilo,Library Materials Videotape,3285,$79719.89
2005,Hawaii,Holualoa,Library Materials Books,6632,$105353.50
2005,Hawaii,Holualoa,Library Materials Compact Disc,133,$2561.09
2005,Hawaii,Holualoa,Library Materials DVD,225,$5523.77
2005,Hawaii,Holualoa,Library Materials Phonodisc,1,$9.98
2005,Hawaii,Holualoa,Library Materials Phonotape,197,$3860.82
2005,Hawaii,Holualoa,Library Materials Videotape,260,$4712.56
2005,Hawaii,Honokaa,Library Materials Books,19021,$274997.80
2005,Hawaii,Honokaa,Library Materials Compact Disc,215,$4296.85
2005,Hawaii,Honokaa,Library Materials DVD,454,$11409.87
2005,Hawaii,Honokaa,Library Materials Phonotape,184,$3959.70
2005,Hawaii,Honokaa,Library Materials Videotape,194,$4297.05
2005,Hawaii,Kailua-Kona ,Library Materials Books,48364,$913569.00
2005,Hawaii,Kailua-Kona ,Library Materials Compact Disc,1174,$26726.60
2005,Hawaii,Kailua-Kona ,Library Materials DVD,721,$19197.82
2005,Hawaii,Kailua-Kona ,Library Materials Phonodisc,1,$8.98
2005,Hawaii,Kailua-Kona ,Library Materials Phonotape,1118,$26502.33
2005,Hawaii,Kailua-Kona ,Library Materials Videotape,1176,$28053.11
2005,Hawaii,Keaau,Library Materials Books,23958,$369384.09
2005,Hawaii,Keaau,Library Materials Compact Disc,369,$6241.34
2005,Hawaii,Keaau,Library Materials CD-ROM,3,$75.00
2005,Hawaii,Keaau,Library Materials DVD,300,$6488.53
2005,Hawaii,Keaau,Library Materials Phonotape,36,$876.80
2005,Hawaii,Keaau,Library Materials Videotape,797,$14143.02
2005,Hawaii,Kealakekua,Library Materials Books,18974,$321884.86
2005,Hawaii,Kealakekua,Library Materials Compact Disc,419,$7342.46
2005,Hawaii,Kealakekua,Library Materials DVD,196,$4909.72
2005,Hawaii,Kealakekua,Library Materials Phonodisc,2,$23.95
2005,Hawaii,Kealakekua,Library Materials Phonotape,363,$4991.29
2005,Hawaii,Kealakekua,Library Materials Videotape,339,$7388.08
2005,Hawaii,Laupahoehoe,Library Materials Books,21744,$867623.10
2005,Hawaii,Laupahoehoe,Library Materials Compact Disc,666,$11953.66
2005,Hawaii,Laupahoehoe,Library Materials DVD,476,$11399.44
2005,Hawaii,Laupahoehoe,Library Materials Phonotape,283,$5269.22
2005,Hawaii,Laupahoehoe,Library Materials Videotape,869,$470775.37
2005,Hawaii,Mountain View,Library Materials Books,21250,$338933.10
2005,Hawaii,Mountain View,Library Materials Compact Disc,588,$12053.69
2005,Hawaii,Mountain View,Library Materials DVD,598,$13798.75
2005,Hawaii,Mountain View,Library Materials Phonotape,382,$6764.23
2005,Hawaii,Mountain View,Library Materials Videotape,781,$14940.42
2005,Hawaii,Naalehu,Library Materials Books,8234,$139198.33
2005,Hawaii,Naalehu,Library Materials Compact Disc,299,$6115.14
2005,Hawaii,Naalehu,Library Materials DVD,241,$5974.97
2005,Hawaii,Naalehu,Library Materials Phonotape,145,$3267.82
2005,Hawaii,Naalehu,Library Materials Videotape,415,$8369.59
2005,Hawaii,Pahala,Library Materials Books,18231,$279178.21
2005,Hawaii,Pahala,Library Materials Compact Disc,271,$4927.78
2005,Hawaii,Pahala,Library Materials CD-ROM,8,$190.00
2005,Hawaii,Pahala,Library Materials DVD,206,$5183.42
2005,Hawaii,Pahala,Library Materials Phonotape,252,$5024.40
2005,Hawaii,Pahala,Library Materials Videotape,489,$10320.25
2005,Hawaii,Pahoa,Library Materials Books,30229,$504221.45
2005,Hawaii,Pahoa,Library Materials Compact Disc,701,$13468.42
2005,Hawaii,Pahoa,Library Materials DVD,666,$15622.05
2005,Hawaii,Pahoa,Library Materials Phonotape,370,$7555.22
2005,Hawaii,Pahoa,Library Materials Videotape,1190,$21574.50
2005,Hawaii,Thelma Parker,Library Materials Books,41396,$698980.19
2005,Hawaii,Thelma Parker,Library Materials Compact Disc,1252,$24743.63
2005,Hawaii,Thelma Parker,Library Materials CD-ROM,4,$115.00
2005,Hawaii,Thelma Parker,Library Materials DVD,462,$10182.57
2005,Hawaii,Thelma Parker,Library Materials Phonodisc,2,$24.98
2005,Hawaii,Thelma Parker,Library Materials Phonotape,1440,$29210.67
2005,Hawaii,Thelma Parker,Library Materials Videotape,1740,$25699.01
2005,Kauai,Hanapepe,Library Materials Books,27377,$425946.26
2005,Kauai,Hanapepe,Library Materials Compact Disc,379,$6685.66
2005,Kauai,Hanapepe,Library Materials CD-ROM,1,$25.00
2005,Kauai,Hanapepe,Library Materials DVD,463,$10792.48
2005,Kauai,Hanapepe,Library Materials Phonodisc,1,$7.98
2005,Kauai,Hanapepe,Library Materials Phonotape,574,$10191.43
2005,Kauai,Hanapepe,Library Materials Videotape,981,$19957.58
2005,Kauai,Kapaa,Library Materials Books,41582,$707702.04
2005,Kauai,Kapaa,Library Materials Compact Disc,1186,$38909.28
2005,Kauai,Kapaa,Library Materials CD-ROM,1,$15.00
2005,Kauai,Kapaa,Library Materials DVD,731,$18556.47
2005,Kauai,Kapaa,Library Materials Phonodisc,11,$138.94
2005,Kauai,Kapaa,Library Materials Phonotape,1580,$22071.70
2005,Kauai,Kapaa,Library Materials Videotape,2215,$48812.53
2005,Kauai,Koloa,Library Materials Books,30130,$465786.16
2005,Kauai,Koloa,Library Materials Compact Disc,4,$64.89
2005,Kauai,Koloa,Library Materials DVD,770,$18663.57
2005,Kauai,Koloa,Library Materials Phonotape,719,$12681.42
2005,Kauai,Koloa,Library Materials Videotape,1623,$32876.46
2005,Kauai,Lihue,Library Materials Books,78545,$1313040.94
2005,Kauai,Lihue,Library Materials Compact Disc,1421,$25845.73
2005,Kauai,Lihue,Library Materials CD-ROM,4,$90.00
2005,Kauai,Lihue,Library Materials DVD,778,$18180.06
2005,Kauai,Lihue,Library Materials Phonodisc,26,$320.87
2005,Kauai,Lihue,Library Materials Phonotape,2380,$30962.60
2005,Kauai,Lihue,Library Materials Videotape,1775,$37818.68
2005,Kauai,Princeville,Library Materials Books,43768,$790528.17
2005,Kauai,Princeville,Library Materials Compact Disc,4,$109.45
2005,Kauai,Princeville,Library Materials DVD,970,$23369.90
2005,Kauai,Princeville,Library Materials Phonotape,392,$9298.86
2005,Kauai,Princeville,Library Materials Videotape,1417,$28561.31
2005,Kauai,Waimea,Library Materials Books,26339,$417345.00
2005,Kauai,Waimea,Library Materials Compact Disc,309,$5533.82
2005,Kauai,Waimea,Library Materials CD-ROM,19,$465.00
2005,Kauai,Waimea,Library Materials DVD,244,$5611.22
2005,Kauai,Waimea,Library Materials Phonodisc,23,$271.99
2005,Kauai,Waimea,Library Materials Phonotape,554,$8077.91
2005,Kauai,Waimea,Library Materials Videotape,750,$14333.17
2005,Maui,Hana,Library Materials Books,28962,$422686.83
2005,Maui,Hana,Library Materials Compact Disc,512,$9170.22
2005,Maui,Hana,Library Materials CD-ROM,1,$15.99
2005,Maui,Hana,Library Materials DVD,267,$7115.26
2005,Maui,Hana,Library Materials Phonodisc,8,$70.80
2005,Maui,Hana,Library Materials Phonotape,751,$11550.13
2005,Maui,Hana,Library Materials Videotape,1087,$22535.72
2005,Maui,Kahului,Library Materials Books,91682,$1674353.32
2005,Maui,Kahului,Library Materials Compact Disc,1090,$21488.42
2005,Maui,Kahului,Library Materials CD-ROM,11,$265.00
2005,Maui,Kahului,Library Materials DVD,884,$19329.97
2005,Maui,Kahului,Library Materials Microform,1,$25.00
2005,Maui,Kahului,Library Materials Phonodisc,1,$8.98
2005,Maui,Kahului,Library Materials Phonotape,1518,$26908.27
2005,Maui,Kahului,Library Materials Videotape,2105,$42973.55
2005,Maui,Kihei,Library Materials Books,55894,$967931.80
2005,Maui,Kihei,Library Materials Compact Disc,666,$13347.66
2005,Maui,Kihei,Library Materials DVD,335,$7503.13
2005,Maui,Kihei,Library Materials Phonotape,1229,$23921.90
2005,Maui,Kihei,Library Materials Videotape,1155,$24671.27
2005,Maui,Lahaina,Library Materials Books,26527,$512221.39
2005,Maui,Lahaina,Library Materials Compact Disc,795,$16663.37
2005,Maui,Lahaina,Library Materials CD-ROM,1,$25.00
2005,Maui,Lahaina,Library Materials DVD,291,$6941.75
2005,Maui,Lahaina,Library Materials Phonodisc,2,$79.90
2005,Maui,Lahaina,Library Materials Phonotape,1075,$19217.55
2005,Maui,Lahaina,Library Materials Videotape,1102,$27174.05
2005,Maui,Lanai,Library Materials Books,28311,$430068.53
2005,Maui,Lanai,Library Materials Compact Disc,865,$16282.63
2005,Maui,Lanai,Library Materials DVD,931,$19973.50
2005,Maui,Lanai,Library Materials Phonodisc,4,$29.92
2005,Maui,Lanai,Library Materials Phonotape,582,$9051.77
2005,Maui,Lanai,Library Materials Videotape,924,$15762.95
2005,Maui,Makawao,Library Materials Books,44467,$1350747.24
2005,Maui,Makawao,Library Materials Compact Disc,852,$15935.42
2005,Maui,Makawao,Library Materials CD-ROM,1,$25.00
2005,Maui,Makawao,Library Materials DVD,233,$5770.26
2005,Maui,Makawao,Library Materials Phonodisc,12,$258.76
2005,Maui,Makawao,Library Materials Phonotape,2558,$40448.51
2005,Maui,Makawao,Library Materials Videotape,842,$18063.77
2005,Maui,Molokai,Library Materials Books,23391,$365146.17
2005,Maui,Molokai,Library Materials Compact Disc,892,$15193.84
2005,Maui,Molokai,Library Materials CD-ROM,2,$50.00
2005,Maui,Molokai,Library Materials DVD,380,$8910.26
2005,Maui,Molokai,Library Materials Phonodisc,2,$50.00
2005,Maui,Molokai,Library Materials Phonotape,688,$9284.62
2005,Maui,Molokai,Library Materials Videotape,1093,$19037.19
2005,Maui,Wailuku,Library Materials Books,64310,$986631.01
2005,Maui,Wailuku,Library Materials Compact Disc,1150,$22877.34
2005,Maui,Wailuku,Library Materials CD-ROM,9,$225.00
2005,Maui,Wailuku,Library Materials DVD,355,$8886.69
2005,Maui,Wailuku,Library Materials Phonodisc,41,$408.68
2005,Maui,Wailuku,Library Materials Phonotape,1091,$18577.12
2005,Maui,Wailuku,Library Materials Videotape,1010,$21190.18
2005,Oahu,Aina Haina,Library Materials Books,55048,$824677.46
2005,Oahu,Aina Haina,Library Materials Compact Disc,1655,$30826.75
2005,Oahu,Aina Haina,Library Materials CD-ROM,3,$65.00
2005,Oahu,Aina Haina,Library Materials DVD,449,$12006.52
2005,Oahu,Aina Haina,Library Materials Phonotape,1039,$15313.06
2005,Oahu,Aina Haina,Library Materials Videotape,974,$20576.54
2005,Oahu,Hawaii Kai,Library Materials Books,75000,$1160512.96
2005,Oahu,Hawaii Kai,Library Materials Compact Disc,917,$17551.89
2005,Oahu,Hawaii Kai,Library Materials DVD,563,$13662.14
2005,Oahu,Hawaii Kai,Library Materials Phonotape,1527,$24800.30
2005,Oahu,Hawaii Kai,Library Materials Videotape,1637,$33535.63
2005,Oahu,Kahuku,Library Materials Books,41079,$606613.39
2005,Oahu,Kahuku,Library Materials Compact Disc,428,$7705.65
2005,Oahu,Kahuku,Library Materials DVD,299,$7422.42
2005,Oahu,Kahuku,Library Materials Phonotape,810,$10300.31
2005,Oahu,Kahuku,Library Materials Videotape,792,$18986.73
2005,Oahu,Kailua,Library Materials Books,76768,$1245145.20
2005,Oahu,Kailua,Library Materials Compact Disc,796,$14398.46
2005,Oahu,Kailua,Library Materials CD-ROM,1,$25.00
2005,Oahu,Kailua,Library Materials DVD,555,$11692.48
2005,Oahu,Kailua,Library Materials Phonotape,1497,$19634.19
2005,Oahu,Kailua,Library Materials Videotape,624,$10024.73
2005,Oahu,Kaimuki,Library Materials Books,111887,$2026629.16
2005,Oahu,Kaimuki,Library Materials Compact Disc,1660,$32303.67
2005,Oahu,Kaimuki,Library Materials CD-ROM,16,$362.89
2005,Oahu,Kaimuki,Library Materials DVD,891,$21043.50
2005,Oahu,Kaimuki,Library Materials Phonodisc,666,$7452.66
2005,Oahu,Kaimuki,Library Materials Phonotape,2446,$36497.44
2005,Oahu,Kaimuki,Library Materials Videotape,2175,$44620.92
2005,Oahu,Kalihi,Library Materials Books,65372,$933116.61
2005,Oahu,Kalihi,Library Materials Compact Disc,1418,$24869.96
2005,Oahu,Kalihi,Library Materials CD-ROM,8,$170.00
2005,Oahu,Kalihi,Library Materials DVD,615,$16648.03
